id,p_mean,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,dams_num,aquitard_perc,aquifer_perc,aquifer_aquitard_mixed_perc,kf_very_high_perc,kf_high_perc,kf_medium_perc,kf_moderate_perc,kf_low_perc,kf_very_low_perc,kf_extremely_low_perc,kf_very_high_to_high_perc,kf_medium_to_moderate_perc,kf_low_to_extremely_low_perc,kf_highly_variable_perc,kf_moderate_to_low_perc,cavity_fissure_perc,cavity_pores_perc,cavity_fissure_karst_perc,cavity_fissure_pores_perc,rocktype_sediment_perc,rocktype_metamorphite_perc,rocktype_magmatite_perc,consolidation_solid_rock_perc,consolidation_unconsolidated_rock_perc,geochemical_rocktype_silicate_perc,geochemical_rocktype_silicate_carbonatic_perc,geochemical_rocktype_carbonatic_perc,geochemical_rocktype_sulfatic_perc,geochemical_rocktype_silicate_organic_components_perc,geochemical_rocktype_anthropogenically_modified_through_filling_perc,geochemical_rocktype_sulfatic_halitic_perc,geochemical_rocktype_halitic_perc,waterbody_perc,no_data_perc,q_mean,runoff_ratio,flow_perc_complete,slope_fdc,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,artificial_surfaces_perc,agricultural_areas_perc,forests_and_seminatural_areas_perc,wetlands_perc,water_bodies_perc,training_perc_complete,validation_perc_complete,testing_perc_complete,clay_0_30cm_mean,clay_30_100cm_mean,clay_100_200cm_mean,silt_0_30cm_mean,silt_30_100cm_mean,silt_100_200cm_mean,sand_0_30cm_mean,sand_30_100cm_mean,sand_100_200cm_mean,coarse_fragments_0_30cm_mean,coarse_fragments_30_100cm_mean,coarse_fragments_100_200cm_mean,bulk_density_0_30cm_mean,bulk_density_30_100cm_mean,bulk_density_100_200cm_mean,soil_organic_carbon_0_30cm_mean,soil_organic_carbon_30_100cm_mean,soil_organic_carbon_100_200cm_mean,gauge_lat,gauge_lon,gauge_easting,gauge_northing,area_metadata,gauge_elev,area,elev_mean,elev_min,elev_5,elev_50,elev_95,elev_max
DE110000,2.97,0.01,0.12,15.23,1.19,202.67,3.71,3,67.06,8.8,24.14,0,0.12,1.49,6.4,27.96,18.24,4.2,0,0.8,16.66,0,24.14,68.61,10.77,20.62,0,73.32,18.24,8.44,89.23,10.77,47.52,31.63,16.44,4.42,0,0,0,0,0,0,1.46,0.49,98.072,2.08,151.33,0.28,4.48,3.83,2.07,22.7,6.84,0,7.84,44.25,47.51,0.24,0.17,99.71,81.71,100,28.89,29.54,29.61,41.18,40.47,39.76,24.79,24.86,25.49,15.83,19.23,21.34,1.08,1.36,1.42,44.79,14.35,10.5,47.925507,8.679586,4222273,2757760,758.53,661.99,763.07,822.25,658.53,681.92,792.26,1037.07,1159.79
DE110010,2.87,0.05,0.12,13.3,1.2,178.97,3.72,3,64.11,9.94,25.95,0,0.11,1.85,5.88,26.2,16.74,3.85,0,2.11,17.31,0,25.95,65.05,10.86,24.09,0,75.49,16.74,7.77,89.14,10.86,43.68,32.01,20.26,4.05,0,0,0,0,0,0,0.67,0.23,98.24,2.59,145.16,0,2.89,37.71,6.27,170.48,31.39,0.39,7.82,42.92,48.89,0.22,0.15,99.43,100,94.93,28.99,29.61,29.74,41.03,40.41,39.66,25.03,25.03,25.65,15.89,19.3,21.46,1.08,1.37,1.43,44.69,14.31,10.48,47.948961,8.760112,4228335,2760262,826.96,650.84,831.29,820.25,649.94,680.98,792.74,1033.22,1159.79
DE110020,2.54,0.19,0.1,15.22,1.17,212.8,3.78,4,32.41,44.61,22.98,0,5.46,1.74,4.92,15.07,5.32,2.26,0,32.48,9.76,0,22.98,27.79,19.88,49.72,2.61,92.22,5.32,2.47,79.2,20.8,13.94,32.14,52.63,1.29,0,0,0,0,0,0,0.84,0.33,100,2.21,161.39,0.19,2.41,1.99,2.45,8.39,6.81,0,7.21,44.28,48.2,0.11,0.2,100,100,100,28.64,29.76,29.54,43.63,42.65,42.08,22.78,22.64,23.42,14.72,19.3,21.58,1.13,1.39,1.45,40.3,12.32,9.12,48.072462,9.3961,4275974,2773394,2621.32,546.44,2618.6,774.9,541.59,621.95,765.67,962.75,1159.79
DE110030,2.45,0.25,0.09,15.23,1.15,213.89,3.76,4,25.3,52.08,22.62,0,12.2,1.11,5.58,13.42,3.41,1.45,0,33.2,7.02,0,22.62,17.86,29.69,47.86,4.59,95,3.4,1.6,69.28,30.72,8.95,34.19,56.03,0.82,0,0,0,0,0,0,0.84,0.34,100,1.72,166.16,0.26,2.13,0.33,1.92,0.91,9,0,6.26,50.69,42.49,0.31,0.25,100,100,100,27.88,29.17,28.93,44.52,43.3,42.62,23.04,22.97,23.9,13.85,18.72,21.31,1.16,1.41,1.46,37.25,11.16,8.36,48.26627,9.731457,4301054,2794786,4072.79,493.75,4093.96,729.47,488.79,555.29,726.97,933.64,1159.79
DE110040,2.61,0.4,0.07,17.16,1.18,223.92,3.77,2,22.35,72.09,5.56,0,72.09,0,0,0.02,0,0,0,0,22.33,0,5.56,0,99.77,0,0.23,100,0,0,0.02,99.98,0,87.78,12.22,0,0,0,0,0,0,0,1.04,0.4,100,0.86,178.06,0.55,2.19,0.43,1.11,0.04,1,0,3.38,57.5,39.12,0,0,100,100,100,23.04,23.07,21.54,41.7,40.92,41.66,32.7,33.45,34.24,10.06,14.21,18.22,1.23,1.47,1.52,38.43,12,9.3,48.26344,9.900817,4313632,2794440,264.39,491.35,272.81,628.93,490.26,524.48,626.6,733.95,791.11
DE110060,3.45,0.28,0.1,16.26,1.16,209.92,3.71,2,9.14,38.22,52.64,0,38.22,0,0,0,0,0,0,0,9.14,0,52.64,0,100,0,0,100,0,0,0,100,0,64.02,35.98,0,0,0,0,0,0,0,1.53,0.44,100,1.59,181.35,0.51,3.83,0.12,1.14,1.42,4.45,0,4.67,57.23,33.49,4.29,0.33,100,100,100,23.88,23.29,23.47,38.97,37.77,38.41,33.61,35.4,34.59,10.53,14.33,16.84,1.14,1.39,1.45,49.56,16.91,12.68,47.876606,10.037603,4323814,2751445,308.45,627.32,308.99,733.07,623.51,645.34,693.25,988.79,1143.99
DE110080,2.29,0.2,0.08,17.74,1.17,230.81,3.97,1,25.76,67.93,6.31,0,0,0,0,25.17,0,0,0,67.93,0.59,0,6.31,0,6.95,90.57,2.48,100,0,0,93.05,6.95,0.05,9.38,90.57,0,0,0,0,0,0,0,0.11,0.05,67.24,2.46,188.24,0.01,0.37,6.37,13.32,59.74,20.98,0,4.51,59.58,35.91,0,0,89.17,0,99.92,30.12,29.48,29.14,47.46,47.24,46.66,19.04,19.9,20.82,12.21,17.59,20.66,1.24,1.48,1.52,29.09,7.21,5.46,48.58296,10.227086,4337760,2829976,321.38,451.33,313.81,595.99,450.43,509.57,590.54,682.54,745.24
DE110090,2.57,0.23,0.11,16.23,1.15,215.27,3.8,0,15.11,71.86,13.03,0,0,1.7,0,15.11,0,0,0,70.15,0,0,13.03,6.23,1.75,92.02,0,100,0,0,98.25,1.75,0,7.93,92.07,0,0,0,0,0,0,0,0.91,0.35,76.901,1.6,177.06,0.28,2.08,0.27,2.33,1.69,3.03,0,7.18,60.97,31.85,0,0,98.85,78.31,100,33.18,34.5,35.6,48.46,46.94,46.08,13.44,13.64,13.41,14.93,21.54,23.72,1.15,1.41,1.45,43.54,14.35,11.2,48.244097,9.224155,4263350,2792588,168.88,656.13,155.99,775.18,654.52,707.69,775.98,843.27,922.96
DE110100,2.75,0.08,0.11,15.77,1.17,212.88,3.71,4,54.91,22.21,22.88,0,0.07,2.25,4.09,21.37,10.62,4.51,0,15.81,18.41,0,22.88,53.32,8.81,37.87,0,84.46,10.62,4.92,91.19,8.81,27.71,34.24,35.48,2.57,0,0,0,0,0,0,0.84,0.3,68.809,4.16,144.91,0.05,3.11,14.55,3.89,105.68,13.25,0,7.88,41.17,50.67,0.19,0.1,92.87,0,100,28.98,29.76,29.96,42.05,41.35,40.57,23.9,23.82,24.4,15.94,19.79,21.92,1.09,1.38,1.44,44.63,14.26,10.51,48.052942,8.974535,4244515,2771571,1310.38,612.63,1311.26,817.66,605.84,677,800.15,1007.43,1159.79
DE110120,2.63,0.4,0.06,17.07,1.17,225.83,3.81,0,16.02,47.58,36.4,0,47.58,0,0,0,0,0,0,0,16.02,0,36.4,0,100,0,0,100,0,0,0,100,0,54.64,45.36,0,0,0,0,0,0,0,0.97,0.37,67.381,0.75,178.54,0.57,1.91,0.5,1.21,105.68,13.25,0,3.68,73.05,23.27,0,0,89.45,0,100,23.94,24.44,22.7,41.36,40.27,41.56,31.21,31.8,32.25,10.75,14.47,17.72,1.24,1.46,1.52,36.09,10.15,7.93,48.074521,9.818366,4307458,2773455,87.89,539.43,94.54,644.64,536.59,568.87,645.2,718.32,787.96
